,PERMNO,date,TICKER,TRDSTAT,FACPR,PRC,VOL,sprtrn
8886340,57913,20160413,AVIR,A,,1.63,8894,0.01004
8886341,57913,20160414,AVIR,A,,1.61,9888,0.000173
8886342,57913,20160415,AVIR,A,,1.46,32614,-0.000984
8886343,57913,20160418,AVIR,A,,1.36,25391,0.006541
8886344,57913,20160419,AVIR,A,,1.525,173830,0.003085
8886345,57913,20160420,AVIR,A,,1.53,11242,0.000762
8886346,57913,20160421,AVIR,A,,1.55,21212,-0.005194
8886347,57913,20160422,AVIR,A,,1.5,8787,4.80E-05
8886348,57913,20160425,AVIR,A,,1.59,54804,-0.001812
8886349,57913,20160426,AVIR,A,,1.53,33037,0.001873
8886350,57913,20160427,AVIR,A,,1.5,18779,0.001649
8886351,57913,20160428,AVIR,A,,1.58,14350,-0.009231
8886352,57913,20160429,AVIR,A,,1.5852,4817,-0.005063
8886353,57913,20160502,AVIR,A,,1.6,11283,0.00781
8886354,57913,20160503,AVIR,A,,1.57,6122,-0.008677
8886355,57913,20160504,AVIR,A,,1.55,23291,-0.005937
8886356,57913,20160505,AVIR,A,,1.62,19256,-0.000239
8886357,57913,20160506,AVIR,A,,1.61,11304,0.003175
8886358,57913,20160509,AVIR,A,,1.61,19184,0.000753
8886359,57913,20160510,AVIR,A,,1.55,24875,0.012484
8886360,57913,20160511,AVIR,A,,1.56,7648,-0.009562
8886361,57913,20160512,AVIR,A,,1.5,334948,-0.00017
8886362,57913,20160513,AVIR,A,,1.54,20211,-0.008478
8886363,57913,20160516,AVIR,A,,1.56,31863,0.009797
8886364,57913,20160517,AVIR,A,,1.57,10677,-0.009411
8886365,57913,20160518,AVIR,A,,1.59,14384,0.000205
8886366,57913,20160519,AVIR,A,,1.6,999,-0.003707
8886367,57913,20160520,AVIR,A,,1.6,6418,0.006019
8886368,57913,20160523,AVIR,A,,1.62,3423,-0.002085
8886369,57913,20160524,AVIR,A,,1.58,3135,0.013681
8886370,57913,20160525,AVIR,A,,1.6,13337,0.006975
8886371,57913,20160526,AVIR,A,,1.59,59463,-0.00021
8886372,57913,20160527,AVIR,A,,1.45,118100,0.004287
8886373,57913,20160531,AVIR,A,,1.4748,18395,-0.001
8886374,57913,20160601,AVIR,A,,1.48,6048,0.00113
8886375,57913,20160602,AVIR,A,,1.45,36518,0.002825
8886376,57913,20160603,AVIR,A,,1.4616,4517,-0.002912
8886377,57913,20160606,AVIR,A,,1.48,22573,0.004897
8886378,57913,20160607,AVIR,A,,1.46,13891,0.001289
8886379,57913,20160608,AVIR,A,,1.5,31902,0.003309
8886380,57913,20160609,AVIR,A,,1.4532,17650,-0.001718
8886381,57913,20160610,AVIR,A,,1.43,24120,-0.009175
8886382,57913,20160613,AVIR,A,,1.44,4747,-0.008115
8886383,57913,20160614,AVIR,A,,1.38,26845,-0.001799
8886384,57913,20160615,AVIR,A,,1.4015,14886,-0.001841
8886385,57913,20160616,AVIR,A,,1.45,214717,0.003133
8886386,57913,20160617,AVIR,A,,1.44,14799,-0.003258
8886387,57913,20160620,AVIR,A,,1.41,16433,0.005808
8886388,57913,20160621,AVIR,A,,1.39,24190,0.002712
8886389,57913,20160622,AVIR,A,,1.4,8796,-0.001652
8886390,57913,20160623,AVIR,A,,1.38,13194,0.013364
8886391,57913,20160624,AVIR,A,,1.39,13232,-0.03592
8886392,57913,20160627,AVIR,A,,1.39,17372,-0.018097
8886393,57913,20160628,AVIR,A,,1.39,74439,0.01777
8886394,57913,20160629,AVIR,A,,1.43,65135,0.017033
8886395,57913,20160630,AVIR,A,,1.4,34608,0.013565
8886396,57913,20160701,AVIR,A,,1.4,28802,0.001949
8886397,57913,20160705,AVIR,A,,1.42,4881,-0.006848
8886398,57913,20160706,AVIR,A,,1.4,19340,0.005353
8886399,57913,20160707,AVIR,A,,1.4,1838,-0.000872
8886400,57913,20160708,AVIR,A,,1.4,21329,0.015253
8886401,57913,20160711,AVIR,A,,1.43,40448,0.003409
8886402,57913,20160712,AVIR,A,,1.43,33552,0.007009
8886403,57913,20160713,AVIR,A,,1.45,411147,0.000135
8886404,57913,20160714,AVIR,A,,1.44,34770,0.005259
8886405,57913,20160715,AVIR,A,,1.38,93784,-0.000929
8886406,57913,20160718,AVIR,A,,1.375,77557,0.002382
8886407,57913,20160719,AVIR,A,,1.38,15092,-0.001435
8886408,57913,20160720,AVIR,A,,1.4,7826,0.00427
8886409,57913,20160721,AVIR,A,,1.39,6240,-0.003612
8886410,57913,20160722,AVIR,A,,1.36,21119,0.004554
8886411,57913,20160725,AVIR,A,,1.37,2649,-0.003011
8886412,57913,20160726,AVIR,A,,1.37,6271,0.000323
8886413,57913,20160727,AVIR,A,,1.34,20918,-0.001199
8886414,57913,20160728,AVIR,A,,1.36,33499,0.001606
8886415,57913,20160729,AVIR,A,,1.37,96130,0.001631
8886416,57913,20160801,AVIR,A,,1.35,17865,-0.00127
8886417,57913,20160802,AVIR,A,,1.34,6875,-0.006362
8886418,57913,20160803,AVIR,A,,1.33,36058,0.003134
8886419,57913,20160804,AVIR,A,,1.33,208607,0.000213
8886420,57913,20160805,AVIR,A,,1.32,68271,0.008603
8886421,57913,20160808,AVIR,A,,1.4,36794,-0.000907
8886422,57913,20160809,AVIR,A,,1.35,26841,0.00039
8886423,57913,20160810,AVIR,A,,1.34,19263,-0.002865
8886424,57913,20160811,AVIR,A,,1.3,25441,0.004735
8886425,57913,20160812,AVIR,A,,1.3499,21506,-0.000796
8886426,57913,20160815,AVIR,A,,1.35,22827,0.002793
8886427,57913,20160816,AVIR,A,,1.34,4817,-0.005479
8886428,57913,20160817,AVIR,A,,1.35,68910,0.001869
8886429,57913,20160818,AVIR,A,,1.4,38377,0.0022
8886430,57913,20160819,AVIR,A,,1.4,14435,-0.00144
8886431,57913,20160822,AVIR,A,,1.4,21785,-0.000563
8886432,57913,20160823,AVIR,A,,1.42,12151,0.001952
8886433,57913,20160824,AVIR,A,,1.4,5493,-0.00524
8886434,57913,20160825,AVIR,A,,1.33,2334,-0.001365
8886435,57913,20160826,AVIR,A,,1.35,22421,-0.001579
8886436,57913,20160829,AVIR,A,,1.3354,87762,0.005228
8886437,57913,20160830,AVIR,A,,1.34,22426,-0.001954
