date,XLU,XLF,XLI,XLB,RWR,XLV,XLY,XLE,XLK,XLP,IYT
20000103,,,,,,,,,,,
20000104,,,,,,,,,,,
20000105,,,,,,,,,,,
20000106,,,,,,,,,,,
20000107,,,,,,,,,,,
20000110,100.4553215,98.90710383,101.8418202,105.3550132,,108.4063772,100.93361,104.8235294,95.49041714,104.739033,
20000111,102.4647887,101.7142857,103.3983103,105.1032807,,107.9683195,103.4759529,106.9544365,97.74346793,107.7738498,
20000112,98.91240318,104.5356131,102.6300879,99.47493116,,107.1352503,104.1689045,103.7383178,98.79445449,106.4583556,
20000113,98.16513761,103.1724138,103.2026499,97.38339022,,109.9787686,103.5331906,101.6310641,103.117207,105.044307,
20000114,98.1239162,103.8670502,98.72340426,96.75581619,,107.7084245,98.61964826,99.9443339,103.6764706,99.1025641,
20000118,97.39376818,102.2099448,98.61702128,94.74586047,,95.90865842,98.56115108,102.020202,100.4132231,99.67211023,
20000119,98.51088202,103.5814831,99.56896552,94.04626127,,100.8797654,98.91471232,101.5695067,103.5236938,100.3934425,
20000120,100,99.72451791,100.1090513,92.90320837,,101.7892644,98.12889813,102.027027,104.575961,98.49965328,
20000121,104.2056075,95.58823529,97.00374583,92.93226168,,98.64864865,95.60498035,103.0437006,103.7484885,96.88514017,
20000124,101.9698725,91.70474896,94.88148276,91.11766588,,96.54334567,92.27577526,100,98.10874704,93.79042691,
20000125,100,95.8784,94.4444617,91.62144104,,99.05755556,93.37853597,98.56985699,99.67667019,94.21052632,
20000126,99.47676279,99.79658852,95.50867532,93.42346042,,96.31782946,94.25287356,97.35099338,96.24413146,94.38275754,
20000127,98.37962963,102.7624309,96.67757734,96.46464646,,96.484375,95.2860339,95.36423841,94.74912485,97.48344371,
20000128,94.78701345,100.4195804,95.31162135,94.40601495,,94.71624266,93.45590595,91.72932331,91.25874126,97.78966424,
20000131,100.5113818,105.1282051,98.80747779,96.38476511,,97.17599642,97.80900674,97.32739421,97.46987952,102.5517462,
20000201,102.1523952,104.580667,98.68644684,100,,97.74660427,100.7258335,97.32142857,97.43437594,102.7932961,
20000202,102.1040323,99.79621739,97.96034031,100.4605474,,100.6036217,99.33481153,99.48981406,101.4634146,102.0761241,
20000203,102.5882353,98.11827957,97.35209513,98.23300524,,102.1255061,100,100.3472222,105.4187192,98.84513043,
20000204,102.6020102,100.6267632,100.4051111,99.80028762,,104.597124,103.9351852,98.59484778,110.6002554,99.5890411,
20000207,97.79534692,96.88346883,97.98852414,98.45945646,,103.3731017,100.9764318,97.4256476,108.2818294,97.64624664,
20000208,98.74715262,97.4393531,99.07407407,96.44736842,,103.1762295,99.66740576,96.78899083,107.0217918,99.86413043,
20000209,99.25584902,96.11978846,97.97569037,94.10609161,,98.9,98.66071429,92.99143604,104.9278846,98.77966128,
20000210,97.99313761,94.04111781,96.35418519,94.93670994,,97.17543707,97.38742014,96.07843137,104.4100561,96.76973817,
20000211,96.77233489,95.22489241,93.94810947,92.72846586,,96.88887358,96.15814699,97.74346793,100.4618938,94.97938927,
20000214,97.16764855,97.06293706,97.12608148,96.12247075,,96.68674699,98.74857793,98.17966446,99.37214612,95.5922865,
20000215,96.71282122,96.12724758,98.42291589,100.5457026,,94.88581529,96.77419355,103.1990521,98.75565611,96.53063401,
20000216,96.30911188,96.38812465,99.23260449,100.208746,,93.88272599,94.57013575,107.2303922,99.48453608,96.01921844,
20000217,97.13280803,97.88781404,101.3813619,100.8421051,,94.64557354,92.69406393,104.9219688,99.35663446,97.86931818,
20000218,95.23525999,94.18604651,101.2883632,100.2158504,,91.99797757,92.64619013,103.0984399,98.62068966,98.62416252,
20000222,94.76502182,94.23631124,101.3285024,101.6985134,,93.04257529,92.39631336,100.5980861,98.33429064,99.71181556,
20000223,93.02323806,93.74103022,98.81305661,96.40436364,,95.23807929,91.89657011,94.02985075,101.0309278,95.41928785,
20000224,90.2994012,93.75457017,98.15584092,95.13888889,,97.25361814,92.58373206,92.57142857,102.8209557,94.78196545,
20000225,90.36144578,94.3452381,96.03082464,93.80652052,,94.2887931,95.68965517,90.84668192,99.60585586,93.83166328,
20000228,96.49781183,101.0031111,98.48574711,97.05668984,,98.67036035,100.625,96.40540315,101.8648019,96.76945668,
20000229,97.55176948,100.764526,97.97377831,93.45859575,,100.50225,102.4937656,99.52437574,104.4392523,94.86996532,
20000301,103.974359,102.5325919,98.19819854,93.52568759,,99.78021978,101.6260159,104.7619048,102.3809524,96.08569572,
20000302,110.3448276,104.0752351,99.45456485,94.89051095,,100.110742,104.8449819,107.9012346,102.1276596,98.34087481,
20000303,111.9333547,105.6782334,104.0098499,99.55489614,,104.7428754,106.370677,108.3123426,105.9638304,100.309358,
20000306,105.7679625,101.3750952,103.2595523,96.89349112,,100.8983715,100.2484472,104.5232274,107.0652265,96.05462822,
20000307,103.7966744,97.64797572,98.05352798,94.41546522,,97.94556838,95.43797567,109.1995221,101.7897092,91.2414096,
20000308,100.1233046,95.20958084,99.63302759,97.44168609,,96.64098678,97.72305768,104.7785548,102.5470653,94.92698049,
20000309,98.37742308,96.31026506,100.3046727,99.46156308,,99.33628319,99.81513744,102.9748284,104.6052632,97.2392638,
20000310,97.4985115,95.74629254,97.86476868,97.16840537,,97.16312106,96.67269756,103.255814,102.0005248,96.60755674,
20000313,100.6127451,97.66387999,96.78380049,101.0687023,,98.3861817,98.20324164,102.3391813,100.6679048,97.39339021,
20000314,101.1159328,100.3108002,100.248139,102.6025489,,100.5102222,101.2109418,96.93654267,101.1538462,102.3372287,
20000315,100.9852217,107.7044025,103.1921418,106.4864849,,101.538443,106.0453401,98.10901001,97.67818575,105.5870172,
20000316,104.9480552,116.2627012,107.8372005,113.379709,,104.3429844,111.7283951,102.2222222,98.11320755,108.5173502,
