date,XLU,XLF,XLI,XLB,RWR,XLV,XLY,XLE,XLK,XLP,IYT
20000103,65887.512,388875,90857.8125,136335.9375,,84831.264,125018.75,241718.75,1108750,224087.5,
20000104,63900,371875,88347.672,135023.4375,,82906.264,121257.8125,237168.75,1052500,217777.393,
20000105,65512.512,368953.21,87953.922,140601.5625,,82162.5,119766.427,243425,1036875,221625,
20000106,65400,385156.25,89135.172,144210.9375,,82425,121128.125,252809.375,1002500,225780.518,
20000107,65962.512,391531.25,92531.25,144128.9325,,83431.264,126834.375,255510.983,1020000,240093.75,
20000110,66187.512,384625,92531.25,143636.745,,91962.5,126185.9375,253378.125,1058750,234707.0805,
20000111,65475,378250,91350,141914.0625,,89512.5,125472.677,253662.5,1028750,234707.0805,
20000112,64800,385687.5,90267.1875,139863.3075,,88025,124759.375,252525,1024375,235938.3305,
20000113,64200,397375,91989.8595,140437.5,,90650,125407.8125,256932.858,1033750,237169.5805,
20000114,64725,406671.96,91350,139453.125,,89862.5,125083.6145,255368.75,1057500,237939.0625,
20000118,64462.512,393125,91251.5625,136089.87,,88200,124370.3125,258496.875,1063125,233937.5,
20000119,64500,391796.96,90956.25,133464.87,,90300,124110.9375,257643.75,1065000,235630.518,
20000120,64800,384625,90365.625,129937.5,,89600,122425,257643.75,1071250,232398.4375,
20000121,66900,379843.75,89233.6095,130511.745,,89425,119896.1145,264753.125,1072500,229782.0805,
20000124,66000,372937.5,86674.2345,127066.4325,,86756.264,115421.875,255368.75,1037500,223164.0625,
20000125,64462.512,376921.96,86182.047,124687.5,,87368.764,116135.177,254800,1059687.6,220393.75,
20000126,64162.512,391000,86871.1095,124687.5,,86975,116978.125,250818.75,1025000,222394.5805,
20000127,63750,395250,87363.297,125343.75,,86450,116653.927,245700,1015000,226550,
20000128,63412.512,381437.5,85050,123210.9375,,84700,112050,242856.25,978750,224703.125,
20000131,66337.512,392062.5,85640.625,122472.6825,,84306.264,112892.9895,248543.75,1011250,228858.643,
20000201,65850,394187.5,85050,124687.5,,85400,116978.125,247975,1032500,226550,
20000202,65512.512,390203.21,85099.2345,125261.745,,87500,116200,249539.108,1040000,227011.768,
20000203,65400,387812.5,85050,123128.9325,,88287.5,116653.927,246553.125,1070000,223933.643,
20000204,65062.512,383828.21,85394.547,122964.87,,88593.764,116459.375,239443.75,1082500,223779.6875,
20000207,64875,379843.75,83917.9845,120585.9375,,87150,113995.3125,242145.358,1095000,223471.875,
20000208,65025,384093.75,84262.5,120257.8125,,88112.5,116589.0625,240012.5,1105000,226242.1875,
20000209,65025,375062.5,83376.5625,117878.9325,,86537.5,114643.75,232050,1091250,224241.4555,
20000210,64087.512,364703.21,81949.2345,116894.5575,,85793.764,113606.25,236884.375,1117187.6,216700,
20000211,62962.512,365500,80226.5625,114023.4375,,85837.5,111985.177,234040.625,1087500,212544.5805,
20000214,63037.512,368687.5,81506.25,115910.1825,,84262.5,112568.75,237737.5,1088125,213621.875,
20000215,62887.512,369218.75,82933.6095,120914.0625,,83606.264,112828.125,247690.625,1091250,218393.018,
20000216,62625,361515.71,82736.7345,118125,,81243.764,108418.75,248828.125,1085625,215314.893,
20000217,62250,357000,83081.25,117878.9325,,81200,105306.25,248543.75,1110000,212082.8125,
20000218,59962.512,344250,81260.172,114269.5575,,78968.764,103750,241292.233,1072500,209620.3125,
20000222,59737.512,347437.5,82589.0625,117878.9325,,78400,104009.375,239159.375,1070000,213006.25,
20000223,58500,346109.46,81949.2345,116566.4325,,79625,103685.177,232903.125,1102500,208389.0625,
20000224,56550,338937.5,81210.9375,112382.8125,,79012.5,100378.125,230343.75,1116250,204079.6875,
20000225,56250,336812.5,79783.6095,110578.125,,76562.5,100767.1875,225793.75,1105625,199000.8305,
20000228,57862.512,347703.21,80029.6875,110906.25,,77918.764,104398.4375,232618.75,1092500,202848.4375,
20000229,58275,350093.75,80915.625,110167.995,,78793.764,106603.125,238021.875,1117500,202078.9555,
20000301,60825,354875,80472.672,109019.5575,,79450,105371.1145,243993.75,1128750,200232.0805,
20000302,62400,352750,80767.9845,106640.625,,79100,105241.427,248543.75,1140000,200693.75,
20000303,62962.512,355937.5,82982.8125,110085.9375,,80193.764,107186.7395,244562.5,1171562.6,199616.4555,
20000306,61200,352484.46,82638.297,107460.9375,,78618.764,104657.8125,243140.625,1169687.6,194845.3125,
20000307,60487.512,341859.46,79340.625,104015.625,,77175,101739.8645,259918.75,1137500,184379.6875,
20000308,60900,337875,80177.3595,106230.495,,76781.264,102971.875,255653.125,1157500,190074.268,
