date,XLU,XLF,XLI,XLB,RWR,XLV,XLY,XLE,XLK,XLP,IYT
20000103,27.45313,22.875,28.84375,25.96875,,30.29688,30.125,26.5625,55.4375,22.75,
20000104,26.625,21.875,28.04688,25.71875,,29.60938,29.21875,26.0625,52.625,22.10938,
20000105,27.29688,21.70313,27.92188,26.78125,,29.34375,28.85938,26.75,51.84375,22.5,
20000106,27.25,22.65625,28.29688,27.46875,,29.4375,29.1875,27.78125,50.125,22.92188,
20000107,27.48438,23.03125,29.375,27.45313,,29.79688,30.5625,28.07813,51,24.375,
20000110,27.57813,22.625,29.375,27.35938,,32.84375,30.40625,27.84375,52.9375,23.82813,
20000111,27.28125,22.25,29,27.03125,,31.96875,30.23438,27.875,51.4375,23.82813,
20000112,27,22.6875,28.65625,26.64063,,31.4375,30.0625,27.75,51.21875,23.95313,
20000113,26.75,23.375,29.20313,26.75,,32.375,30.21875,28.23438,51.6875,24.07813,
20000114,26.96875,23.92188,29,26.5625,,32.09375,30.14063,28.0625,52.875,24.15625,
20000118,26.85938,23.125,28.96875,25.92188,,31.5,29.96875,28.40625,53.15625,23.75,
20000119,26.875,23.04688,28.875,25.42188,,32.25,29.90625,28.3125,53.25,23.92188,
20000120,27,22.625,28.6875,24.75,,32,29.5,28.3125,53.5625,23.59375,
20000121,27.875,22.34375,28.32813,24.85938,,31.9375,28.89063,29.09375,53.625,23.32813,
20000124,27.5,21.9375,27.51563,24.20313,,30.98438,27.8125,28.0625,51.875,22.65625,
20000125,26.85938,22.17188,27.35938,23.75,,31.20313,27.98438,28,52.98438,22.375,
20000126,26.73438,23,27.57813,23.75,,31.0625,28.1875,27.5625,51.25,22.57813,
20000127,26.5625,23.25,27.73438,23.875,,30.875,28.10938,27,50.75,23,
20000128,26.42188,22.4375,27,23.46875,,30.25,27,26.6875,48.9375,22.8125,
20000131,27.64063,23.0625,27.1875,23.32813,,30.10938,27.20313,27.3125,50.5625,23.23438,
20000201,27.4375,23.1875,27,23.75,,30.5,28.1875,27.25,51.625,23,
20000202,27.29688,22.95313,27.01563,23.85938,,31.25,28,27.42188,52,23.04688,
20000203,27.25,22.8125,27,23.45313,,31.53125,28.10938,27.09375,53.5,22.73438,
20000204,27.10938,22.57813,27.10938,23.42188,,31.64063,28.0625,26.3125,54.125,22.71875,
20000207,27.03125,22.34375,26.64063,22.96875,,31.125,27.46875,26.60938,54.75,22.6875,
20000208,27.09375,22.59375,26.75,22.90625,,31.46875,28.09375,26.375,55.25,22.96875,
20000209,27.09375,22.0625,26.46875,22.45313,,30.90625,27.625,25.5,54.5625,22.76563,
20000210,26.70313,21.45313,26.01563,22.26563,,30.64063,27.375,26.03125,55.85938,22,
20000211,26.23438,21.5,25.46875,21.71875,,30.65625,26.98438,25.71875,54.375,21.57813,
20000214,26.26563,21.6875,25.875,22.07813,,30.09375,27.125,26.125,54.40625,21.6875,
20000215,26.20313,21.71875,26.32813,23.03125,,29.85938,27.1875,27.21875,54.5625,22.17188,
20000216,26.09375,21.26563,26.26563,22.5,,29.01563,26.125,27.34375,54.28125,21.85938,
20000217,25.9375,21,26.375,22.45313,,29,25.375,27.3125,55.5,21.53125,
20000218,24.98438,20.25,25.79688,21.76563,,28.20313,25,26.51563,53.625,21.28125,
20000222,24.89063,20.4375,26.21875,22.45313,,28,25.0625,26.28125,53.5,21.625,
20000223,24.375,20.35938,26.01563,22.20313,,28.4375,24.98438,25.59375,55.125,21.15625,
20000224,23.5625,19.9375,25.78125,21.40625,,28.21875,24.1875,25.3125,55.8125,20.71875,
20000225,23.4375,19.8125,25.32813,21.0625,,27.34375,24.28125,24.8125,55.28125,20.20313,
20000228,24.10938,20.45313,25.40625,21.125,,27.82813,25.15625,25.5625,54.625,20.59375,
20000229,24.28125,20.59375,25.6875,20.98438,,28.14063,25.6875,26.15625,55.875,20.51563,
20000301,25.34375,20.875,25.54688,20.76563,,28.375,25.39063,26.8125,56.4375,20.32813,
20000302,26,20.75,25.64063,20.3125,,28.25,25.35938,27.3125,57,20.375,
20000303,26.23438,20.9375,26.34375,20.96875,,28.64063,25.82813,26.875,58.57813,20.26563,
20000306,25.5,20.73438,26.23438,20.46875,,28.07813,25.21875,26.71875,58.48438,19.78125,
20000307,25.20313,20.10938,25.1875,19.8125,,27.5625,24.51563,28.5625,56.875,18.71875,
20000308,25.375,19.875,25.45313,20.23438,,27.42188,24.8125,28.09375,57.875,19.29688,
20000309,25.57813,19.98438,25.71875,20.20313,,28.0625,25.3125,28.125,59.625,19.8125,
20000310,25.57813,20.04688,25.78125,20.375,,27.82813,24.96875,27.75,59.75,19.57813,
20000313,25.65625,20.25,25.39063,20.6875,,27.625,24.76563,27.34375,58.875,19.26563,
20000314,25.48438,20.17188,25.25,20.32813,,27.70313,24.8125,27.6875,57.53125,19.15625,
20000315,25.625,21.40625,26.26563,21.54688,,27.84375,26.3125,27.5625,56.53125,20.375,
20000316,26.84375,23.23438,27.73438,22.90625,,29.28125,28.28125,28.75,58.5,21.5,
20000317,26.64063,23.17188,27.59375,22,,29.3125,28.26563,27.78125,59.875,21.09375,
20000320,26.53125,22.73438,27.75,22.26563,,29.875,28,27.34375,59.625,20.90625,
20000321,26.35938,23.5625,28.34375,22.53125,,30.0625,28.3125,28.21875,61.1875,21.29688,
